#序号	通用名	剂型	单位	规格	售价	供应商名称	生产日期	库存数量
70	感冒解毒灵颗粒	颗粒剂	盒	5g*12s	13.8	北京龙泰基药	12/3/25	10
71	21活力金维	胶囊剂	瓶	1800mg*60s	38	北京绿健园生物科技	12/3/16	7
72	张大宁	胶囊剂	盒	0.4g*12s	65	北京美诺食品厂	12/3/29	6
73	盐酸特比萘芬片(兰美抒)	片剂	盒	0.25*7S	98	北京诺华制药	12/3/18	7
74	盐酸贝那普利片（洛汀新）	片剂	盒	10mg*14s	39	北京诺华制药	12/3/27	8
75	扶他林	片剂	盒	25mg*30S	22	北京诺华制药	12/3/21	14
76	来适可（氟伐他汀钠胶囊）	片剂	盒	40mg*7s	28	北京诺华制药	12/3/17	8
77	扶他林(双氯芬酸钠缓释片)	片剂	盒	75mg	23	北京诺华制药	12/3/24	7
78	盐酸贝那普利片(洛汀新)	片剂	盒	5ml*14s	27.5	北京诺华制药生产	12/3/24	8
79	鱼腥草素钠片（思可辛）	片剂	盒	60mg*24	8.5	北京赛而生物药业	12/3/23	6
80	苯磺本酸氨氯地平片	片剂	盒	5mg*14S	23.5	北京赛科药业	12/3/22	18
81	头孢拉定胶囊	胶囊剂	盒	0.25g*24s	10	北京三九药业	12/3/20	6
82	小儿氨酚黄那敏颗粒	颗粒剂	盒	10s	8.5	北京三九药业	12/3/22	10
83	风寒感冒颗粒(三九)	颗粒剂	盒	9s	12.5	北京三九药业	12/3/27	20
84	风热感冒颗粒(三九)	颗粒剂	盒	9s	12.5	北京三九药业	12/3/24	19
85	奥复星片	片剂	盒	100mg*12片	6.5	北京双鹤药业	12/3/18	14
86	北京降压0号	片剂	盒	10片	7.5	北京双鹤药业	12/3/29	8
87	西地碘含片	片剂	盒	15s	6.9	北京四环医药科技生产	12/3/27	11
88	藿香祛暑软胶囊	胶囊剂	盒	20s	8	北京同科技发展	12/3/25	8
89	同仁乌鸡白凤口服液	口服液	盒	10l*10s	17.5	北京同仁堂同仁堂	12/3/19	15
90	黄连上清丸	丸剂	盒	1克*10丸	5.8	北京同仁堂	12/3/31	16
91	京制咳嗽痰喘丸	丸剂	瓶	180s	5	北京同仁堂	12/3/26	16
92	复方洋参五浆胶囊	胶囊剂	盒	0.36g*20s	45	北京同仁堂同仁堂	12/3/23	10
93	大活络丹	丸剂	盒	3.6g×6丸	23.8	北京同仁堂同仁堂	12/3/20	5
94	同仁牛黄清心丸	丸剂	盒	3g×6丸	22	北京同仁堂同仁堂	12/3/27	16
95	乌鸡白凤丸	丸剂	盒	9g×10丸	10.3	北京同仁堂同仁堂	12/3/22	13
96	川贝止咳露	口服液	瓶	100ml	12	北京同仁堂鸿日药业	12/3/25	13
97	牛黄解毒片	片剂	片	10s*1板	0.9	北京同仁堂科技发发展	12/3/18	13
98	藿香正气水	口服液	盒	6s	3.5	北京同仁堂	12/3/26	17
99	通便灵胶囊	胶囊剂	盒	20s	9.8	北京同仁堂科技发展	12/3/31	16
100	芩连片	片剂	盒	0.55g*40S	12	北京同仁堂科技发展	12/3/27	10
101	阿胶块	片剂	盒	500g	120	北京同仁堂科技发展	12/3/25	5
102	牛黄降压片	丸剂	盒	1.6g*10s	9.5	北京同仁堂科技发展	12/3/23	11
103	京制牛黄解毒片	片剂	支	0.6g*8s*1瓶	1.3	北京同仁堂科技发展	12/3/22	16
104	小儿咽扁颗粒	颗粒剂	盒	8g*10s	17.5	北京同仁堂	12/3/25	14
105	复方益母草膏	口服液	盒	100g	13.5	北京同仁堂	12/3/24	6
106	安宫牛黄丸	丸剂	盒	3G*2S	238	北京同仁堂	12/3/28	15
107	防风通圣丸	丸剂	盒	6g*10s	9.5	北京同仁堂	12/3/17	17
108	止嗽咳喘宁糖浆	口服液	瓶	100ml	9.4	北京同仁堂	12/3/21	11
109	气管炎丸	丸剂	瓶	300s	4.8	北京同仁堂	12/3/22	9
110	金匮肾气丸	丸剂	瓶	360s	10.6	北京同仁堂	12/3/29	14
111	同仁乌鸡白凤丸	丸剂	瓶	36g*100S	7	北京同仁堂科技发展	12/3/23	14
112	安神健脑液	口服液	盒	10ml*10s	18	北京同仁堂科技	12/3/20	8
113	人丹	丸剂	包	30s	1	北京同仁堂科技	12/3/16	9
114	速效心痛滴丸	丸剂	瓶	40mg*90s	26.5	北京同仁堂制药厂	12/3/20	5
115	皮肤病血毒丸	丸剂	盒	200s	5.8	北京同仁堂制药	12/3/22	6
116	糖适平(格列喹酮片)	片剂	盒	30MG*24s	26.5	北京万辉双鹤药业	12/3/20	7
117	罗布麻茶	颗粒剂	盒	3G*20袋	39.8	北京协和康友制药	12/3/21	15
118	感冒灵颗粒	颗粒剂	盒	10g*9s	7	北京亚东生物	12/3/19	6
119	香砂养胃颗粒	颗粒剂	盒	5g*12s	9.8	北京亚东生物制药	12/3/17	9
120	新生化颗粒	颗粒剂	盒	6g*12s	15	北京亚东生物制药	12/3/26	13
121	一清颗粒	颗粒剂	盒	7.5g*12袋	12	北京亚东生物制药	12/3/24	12
122	小儿清热止咳口服液	口服液	盒	10ml*6支	0	北京亚东生物制药	12/3/22	18
123	甲巯咪唑片（那巴唑）	片剂	瓶	5mg*100s	2.5	北京燕山京药业	12/3/18	16
124	溶菌酶含片	片剂	盒	12s	6	北京以鹭药业	12/3/17	8
125	硝酸甘油片	片剂	瓶	0.5mg*100s	2.9	北京益民药业	12/3/31	19
126	复方枣仁胶囊	胶囊剂	盒	12s*0.4g	12.5	北京优你尔特药业	12/3/31	12
127	氨酚那敏片维B1那敏片	片剂	盒	20S	15.5	北京紫竹药业	12/3/21	13
128	天悦婷(枯草芽杆活菌胶囊)	胶囊剂	盒	0.25G*10s	14.5	北京紫竹药业	12/3/31	20
129	毓婷	片剂	盒	0.75mg*2s	9	北京紫竹药业	12/3/18	15
130	金毓婷	片剂	盒	1.5mg*1S	16	北京紫竹药业	12/3/31	12
131	司米安	片剂	盒	10mg*1s	10	北京紫竹药业	12/3/27	15
132	复方左炔诺孕酮片	片剂	盒	22s	10	北京紫竹药业	12/3/20	16
133	悦可婷(长效避孕药)	片剂	盒	6s	8	北京紫竹药业	12/3/20	13
134	感冒软胶囊	胶囊剂	盒	20s	8.8	北说同仁堂技发展股	12/3/21	12
135	仙特仙(盐酸西替利嗪片)	片剂	盒	10mg*6s	19.2	比利时联盒化工集团	12/3/18	15
136	蒙脱石散（思密达）	颗粒剂	盒	3g*10s	19.3	博福益普生(天津)	12/3/22	19
137	睡得好	片剂	盒	0.65g*12s	15	博林生物科技	12/3/23	6
138	复方地芬诺酯片	片剂	瓶	100s	4.2	常州康普药业	12/3/30	14
139	盐酸洛美沙星胶囊	胶囊剂	盒	0.1g*12s	4.8	常州兰陵制药	12/3/16	17
140	米莱双唑康阴道泡腾片	片剂	盒	8s	18	朝阳龙城制药	12/3/24	15
141	纤姿素减肥胶囊	胶囊剂	盒	30s	118	成都倍爱化装品	12/3/28	8
142	枸橼酸莫沙必利分散片	片剂	盒	12s*5mg	13.5	成都大西南制药	12/3/24	9
143	安斯菲	片剂	盒	20mg*7s	35	成都迪康科技药业	12/3/31	6
144	地奥脂必妥片	片剂	盒	0.35g×48‘s	6	成都地奥九泓制药厂	12/3/25	14
145	地奥心血康胶囊	胶囊剂	盒	100mg×20‘s	6.2	成都地奥制药集团	12/3/29	19
146	银黄含片	片剂	盒	0.65g×24‘s	5.5	成都地奥制药集团	12/3/22	14
147	洁尔阴泡腾片	片剂	盒	0.3g*12s	16.5	成都恩威药业	12/3/27	9
148	胆维他(茴三硫片)	片剂	盒	12s	18.8	成都国嘉联盒制药	12/3/23	6
149	罗格列酮片	片剂	盒	4mg*7s	16.5	成都恒瑞制药	12/3/28	20
150	比特力	片剂	盒	10mg*16s	6.5	成都恒瑞制药	12/3/17	14
151	罗格列酮片(爱能)	片剂	盒	4mg*14s	28	成都恒瑞制药	12/3/23	9
152	鼻渊舒口服液(无糖型)	口服液	盒	10ml×6支	14.5	成都华神集团有限	12/3/16	8
153	佐尔通(大黄通便)胶囊	胶囊剂	盒	450mg*12	12	成都湔江制药厂	12/3/16	7
154	利福平胶囊	胶囊剂	瓶	0.15g*100s	15	成都锦华药业	12/3/22	15
155	玉泉丸	丸剂	片	60g	10.3	成都九芝堂金鼎药业	12/3/28	14
156	舒肝片(菊乐)	片剂	盒	0.6g*32	18.8	成都菊乐制药	12/3/18	14
157	一清胶囊	胶囊剂	袋	0.5g*20S	14.8	成都康弘制药	12/3/22	16
158	镇咳宁胶囊	胶囊剂	盒	10粒*2板	15.8	成都康弘制药	12/3/17	7
159	今生钙片	片剂	瓶	0.9g*60s	53	成都生品贸易	12/3/30	18
160	咳特灵胶囊	胶囊剂	盒	24s	8	成都市湔江制药厂	12/3/26	20
161	酒妹	片剂	盒	0.8g*12s	6	成都市绿源品	12/3/17	9
162	清咽片	片剂	盒	24s	11	成都市前江制药厂	12/3/22	10
163	穿心莲片	片剂	盒	36s	2.5	成都天台山制药	12/3/31	14
164	六味木香胶囊	胶囊剂	盒	0.42g*24s	8.8	成都希臣药业	12/3/23	19
165	小金丸	丸剂	盒	0.6g*4s	15	成都永康制药	12/3/24	5
166	腰痛宁胶囊	胶囊剂	盒	0.3g×20‘s	14.5	承德颈复康药业集团	12/3/23	15
167	颈复康颗粒(无糖)	胶囊剂	盒	5g×10袋	18.9	承德颈复康药业集团	12/3/24	10
168	快胃舒肝丸	丸剂	盒	6g*6s	15.8	承德天原药业	12/3/17	5
169	复方对乙酰氨基酚片（通宁消）	片剂	盒	12S	10	赤峰蒙欣药业	12/3/27	7
170	鱼腥草素钠片	片剂	盒	30mg*40s	10	赤峰蒙欣药业	12/3/18	6
171	消咳宁片	片剂	盒	48s	10	赤峰蒙欣药业	12/3/18	6
172	人工牛黄甲硝唑胶囊	胶囊剂	盒	20s	7	赤峰蒙欣药业	12/3/31	14
173	雷蒙欣（氨麻美敏片）	片剂	盒	10s	9	赤峰蒙欣药业	12/3/23	14
174	铝碳酸镁咀嚼片	片剂	盒	10s	9.5	赤峰蒙欣药业	12/3/29	20
175	甲麻芩苷那敏片	片剂	盒	40s	15	赤峰蒙欣药业	12/3/23	10
176	甲苯磺酸妥舒沙星片	片剂	盒	0.15g*10s	28	赤峰万泽制药	12/3/21	7
177	牛磺酸颗粒	颗粒剂	盒	15袋	4.5	赤峰维康生化制药	12/3/24	5
178	盐酸洛美沙星分散片	片剂	盒	0.1g*12s	12.5	赤峰维康生化制药	12/3/22	9
179	可坦愈美片	片剂	盒	12片	11.5	大连美罗大药厂	12/3/29	12
180	美罗胃痛宁片	片剂	盒	0.25g*45粒	13.8	大连美罗大药厂	12/3/21	13
181	芩黄喉症胶囊	胶囊剂	盒	24s	12.5	大连美罗中药厂	12/3/18	19
182	诺氟沙星胶囊	片剂	盒	0.1g*24S	4.5	大连美罗中药厂	12/3/25	9
183	蓝花药	丸剂	盒	50s/支*6支	17.8	大连美罗中药厂	12/3/31	10
184	盐酸雷尼替丁胶囊	胶囊剂	瓶	0.15g*30s	2.8	大连美罗中药厂	12/3/28	5
185	布洛芬糖浆	口服液	瓶	90ml	9.8	大连美罗中药厂	12/3/30	9
186	盐酸普萘洛尔片（心得安）	片剂	瓶	10mg*100s	1	大同市云岗制药	12/3/21	9
187	度米芬含片	片剂	盒	0.5MG*30s	7.5	大同长兴制药	12/3/18	10
188	辛芳鼻炎胶囊	胶囊剂	盒	0.25g*24s	11	大同制药	12/3/19	10
189	醒脑安神胶囊	胶囊剂	盒	0.4g*24s	15.5	大同制药	12/3/25	6
190	仲景胃灵丸	丸剂	盒	10s	19.8	大同制药	12/3/30	18
191	仲景胃灵片	片剂	盒	0.6s*24s	16.5	大同制药	12/3/19	15
192	茶酵母	胶囊剂	盒	250MG*20S	36	大兴安岭北奇神品	12/3/19	14
193	喇叭牌正露丸	丸剂	瓶	50‘s	14.5	大幸药品株式会社	12/3/22	17
194	头痛片	片剂	盒	30s	9	丹东市通远药业	12/3/26	6
195	氟哌噻吨美利曲辛片(黛力新）	片剂	盒	20s	56	丹麦灵北制药	12/3/31	17
196	诺和龙(瑞格列奈片)	片剂	盒	1.mg*30s	60	丹麦诺和诺德	12/3/16	9
197	瑞格列奈片(诺和龙)	片剂	盒	2.0mg*30s	71	丹麦诺和诺德	12/3/23	18
198	强力痔根断	片剂	盒	80s	36.8	德国汉堡爱活大药厂	12/3/25	5
199	苯溴马隆片（立加立仙）	片剂	盒	50mg*10s	30.8	德国赫曼大药厂	12/3/28	11
200	利加隆(水飞蓟素胶囊)	胶囊剂	盒	140mg*10s	33	德国马博士大药厂	12/3/17	5
201	双氯芬酸钠双释放肠溶胶囊	胶囊剂	盒	75mg*10s	18.5	德国摹尼黑制药	12/3/28	20
202	优甲乐(左甲状腺素钠片)	片剂	盒	50ug*100s	29	德国默克	12/3/23	16
203	富马酸比索洛尔片(康忻)	片剂	盒	5MG*10S	31.8	德国默克	12/3/18	18
204	复方珍珠口疮颗粒	颗粒剂	盒	10g*10s	86	德阳华康药业	12/3/25	12
205	三九风寒感冒冲剂	颗粒剂	盒	8g*10	4.5	德阳三九药业	12/3/22	17
206	小儿氨酚黄那敏颗粒（库克）	颗粒剂	盒	6g*9s	6.8	德阳三九药业	12/3/16	18
207	三九川贝枇杷糖浆	口服液	瓶	100ml	4.5	德阳三九药业	12/3/18	18
208	库克小儿止咳糖浆	口服液	瓶	120ml	14.5	德阳三九药业	12/3/22	16
209	迪沙(格列吡嗪片)	片剂	盒	2.5mg*12s	25.5	迪沙药业集团	12/3/24	14
210	加替沙星片	片剂	盒	0.2G*12S	25	地奥集团成都药业	12/3/20	14
211	谷参肠安胶囊	胶囊剂	盒	0.2g×12‘s	13.8	地奥集团成都药籽	12/3/25	18
212	氧氟沙星片（泰利必妥）	片剂	盒	0.1g*10s	18	第一制药（北京）	12/3/26	16
213	整肠生	胶囊剂	盒	6粒*0.25g	6	东北制药集团	12/3/31	8
214	地衣孢杆菌活菌胶囊(整肠生)	胶囊剂	瓶	0.25g*20s	15.8	东北制药集团	12/3/20	20
215	白加黑	片剂	盒	10S:5S	7.6	东盛科技启东盖天力	12/3/21	11
216	氨酚麻美糖浆（小白）	口服液	瓶	100ml	19.5	东盛科技启盖天力	12/3/17	18
217	力平之(非诺贝特胶囊)	胶囊剂	盒	10s	37.8	法国利博福尼制药	12/3/24	5
218	纳催离(吲达帕胺片)	片剂	盒	2.5g*10s	13.9	法国施维牙药厂	12/3/16	16
219	达美康（格列齐特片II）	片剂	盒	60S	61.8	法国施维雅药厂	12/3/18	16
220	羚羊感冒片	片剂	盒	24s	3.5	佛山德众药业	12/3/26	12
221	复方珍珠暗疮片	片剂	瓶	100‘s	11.5	佛山德众药业	12/3/23	18
222	薄膜衣鼻炎康片	片剂	瓶	50‘s	6	佛山德众药业	12/3/29	17
223	复方磺胺甲噁唑片	片剂	瓶	100s	7.8	福建古田药业	12/3/20	17
224	儿童健胃消食片	片剂	盒	1600mg*15S	6.5	福建广生堂药业	12/3/16	18
225	痛血康胶囊	胶囊剂	盒	0.2g*12s	19.6	福建汇天生物药业	12/3/24	13
226	雷公藤多甙片	片剂	盒	10mg*50s	13.5	福建汇天生物药业	12/3/19	5
227	天麻蜜环菌片	片剂	瓶	0.25g*100s	2	福建汇天生物药业	12/3/19	9
228	硫酸庆大霉素片	片剂	瓶	40ng*100s	5.3	福建汇天生物药业	12/3/17	12
229	山楂精降脂片	片剂	瓶	60mg×100‘s	14.8	福建汇天生物药业	12/3/24	13
230	西洋参胶囊	胶囊剂	盒	12s	10.5	福建力菲克药业	12/3/29	12
231	西洋参含片	片剂	盒	12S	17.5	福建力菲克药业	12/3/27	18
232	燕窝皇	口服液	盒	560ml	80	福建力菲克药业出品	12/3/21	5
233	同仁睡每	胶囊剂	盒	0.4g*30s	75	福建前峰生物科技	12/3/24	15
234	大山楂颗粒	颗粒剂	盒	15g*8s	5	福建泉州罗裳山	12/3/29	16
235	赛胃安胶囊	胶囊剂	盒	0.87g*27s	17	福建泉州亚泰制药	12/3/25	14
236	余甘子喉片	片剂	盒	20s	12	福建泉州亚泰制药	12/3/17	15
237	复方满山白糖浆	口服液	瓶	120ml	4.8	福建三爱药业	12/3/25	20
238	螺旋藻片	片剂	瓶	0.25g*450s	138	福建生物科技	12/3/31	20
239	双黄连含片	片剂	盒	12s	6.8	福建太平洋制药	12/3/17	9
240	OB蛋白素	胶囊剂	盒	60s	128	福建幸福科技生物	12/3/22	9
241	果然瘦身	胶囊剂	盒	60s	90	福建幸福生物科技	12/3/16	20
242	复方地巴唑氢氯噻嗪胶囊	胶囊剂	盒	60s	4	福建延年药业	12/3/30	16
243	黄连上清片	片剂	盒	48s	0.9	福建漳州乐尔康药业	12/3/31	17
244	复方氨基酸胶囊	胶囊剂	盒	16g	23	福建中医药研究院	12/3/23	8
245	窈窕密嗎	胶囊剂	盒	420mg*60s	98	福生堂(厦门)生物	12/3/23	5
246	葛根胶囊（防醉醒酒）	胶囊剂	盒	300mg*12*2	32	福生堂（夏门）生物	12/3/28	17
247	便秘舒	胶囊剂	盒	0.3g*10s	5.6	福州辰星药业	12/3/20	16
248	福蜂园	口服液	瓶	1.5kg	18	福州春源食品	12/3/19	20
249	复方甘草片	片剂	瓶	100s	4.6	福州海王福药制药	12/3/23	7
250	复盒维生素B	片剂	瓶	100s	1	福州海王福药制药	12/3/21	17
251	万应甘和茶	颗粒剂	盒	9g*\20s	7	福州海王金象中药	12/3/27	16
252	蜂乳胶囊	胶囊剂	瓶	0.5g*100s	2.8	福州海王金象中药	12/3/30	5
253	半夏糖浆	口服液	瓶	100ml	1.8	福州海王金象中药	12/3/16	6
254	复方甘草口服溶液	口服液	瓶	100ML	1.9	福州海王金象中药	12/3/18	7
255	浓维磷糖浆（补脑汁）	口服液	瓶	500ml	5	福州海王金象中药	12/3/26	8
256	丹栀逍遥丸	片剂	瓶	60g	4	福州海王金象中药	12/3/17	8
257	甘露消毒丸	丸剂	瓶	30s	5	福州海王金象中药	12/3/23	10
258	麻仁丸	丸剂	瓶	60g	2.6	福州海王金象中药	12/3/28	17
259	复方愈创木酚磺酸钾口服溶液	口服液	瓶	100ml	1.6	福州海王我象中药	12/3/23	12
260	肠清茶	颗粒剂	盒	4g*12s	15	福州凯迪品	12/3/17	19
261	感冒炎咳灵糖浆	口服液	瓶	100ml	12	福州屏山制药	12/3/20	20
262	射香正骨酊	外用洗剂	瓶	30ml	15	福州屏山制药	12/3/20	15
263	金银花露饮品	口服液	瓶	350ml	3	福州神狮食品	12/3/27	8
264	下火王饮品	口服液	瓶	350ml	3	福州药业国际集团	12/3/28	18
265	宣肺止嗽盒剂	口服液	瓶	100ML	15	甘肃普安制药	12/3/18	8
266	文迪雅（马来酸罗格列酮片）	片剂	盒	4mg*7s	65.5	葛兰素史克天津	12/3/31	5
267	贺普丁（拉米夫定片）	片剂	盒	0.1g*14S	178	葛兰素史克制药	12/3/18	13
268	抗骨增生片	片剂	盒	36s	5	广东博罗先锋药业	12/3/20	7
269	田七痛经胶囊	胶囊剂	盒	20s	9.5	广东博罗先锋药业	12/3/26	17
270	五花茶颗粒	颗粒剂	盒	10g*9s	6	广东博罗先锋药业	12/3/27	17
271	石淋通片	片剂	瓶	0.14g*100s	1.5	广东博罗先锋药业	12/3/24	8
272	夏桑菊颗粒	颗粒剂	包	10g*20s	7.3	广东广州花城制药厂	12/3/25	9
273	复方鱼腥草片	片剂	瓶	100s	1.3	广东恒诚制药	12/3/29	11
274	大黄庶虫丸	丸剂	瓶	36g	9.8	广东恒诚制药	12/3/16	7
275	利巴韦林片	片剂	盒	24s	5.8	广东华南药业	12/3/17	19
276	胶体果胶铋胶囊	胶囊剂	盒	50mg×24s	5.5	广东华卫药业	12/3/23	11
277	玉屏风颗粒	颗粒剂	盒	5g*12袋	15	广东环球制药	12/3/31	13
278	吐泻肚痛胶囊	胶囊剂	盒	20s	11.5	广东嘉应制药	12/3/27	10
279	甲硝唑片	片剂	瓶	0.2g*100s	2.8	广东康美药业	12/3/24	5
280	谷维素片	片剂	瓶	10MG*100s	1.2	广东康奇力药业	12/3/28	8
281	神曲胃痛胶囊	胶囊剂	盒	24s	15	广东康祺制药	12/3/24	18
282	喉疾灵片	片剂	盒	24s	9	广东罗浮山药业	12/3/25	13
283	了哥王片	片剂	盒	24s	13.8	广东罗浮山药业	12/3/25	6
284	双梅喉片	片剂	盒	24s	8	广东罗浮山药业	12/3/26	18
285	食母生片	片剂	包	0.2g*80s	0.5	广东美好制药	12/3/29	6
286	骨刺平片	片剂	盒	72S	13	广东省博罗先锋药业	12/3/17	15
287	复方石菖蒲碱式硝酸铋片	片剂	瓶	100s	7.5	广东台城制药	12/3/19	12
288	制霉素片	片剂	瓶	100s	22.8	广东台城制药	12/3/26	12
289	氟康唑片	片剂	盒	50mg*3s	5.5	广东太阳神荔城制药	12/3/26	13
290	胆石通胶囊	胶囊剂	盒	48‘s	14.8	广东万年青制药	12/3/28	19
291	消炎利胆片	片剂	盒	100s	5.8	广东万年青制药	12/3/21	18
292	益心丸	丸剂	盒	20s	10.8	广东万年青制药	12/3/27	13
293	众生丸	丸剂	盒	72s	11.3	广东众生药业	12/3/19	6
294	三黄片	片剂	盒	100s	1.4	广西半宙天龙制药	12/3/31	12
295	原方熊胆丸	胶囊剂	盒	0.25g*24s	9.5	广西北生药业	12/3/18	17
296	天麻胶囊	胶囊剂	盒	24s	10	广西北生药业	12/3/25	6
297	高歌罗汉果糖片（微凉型）	片剂	盒	16s	5	广西博科药业	12/3/23	14
